cat,x,y
well-50,40624.99889144244,70374.99764359128
well-51,39374.99865308885,71624.99788164007
well-52,38124.99841504005,72874.99752441447
well-53,40624.99889144244,72874.99752441447
well-54,39374.99865308885,74124.99776246327
well-55,38124.99841504005,75374.99859609125
well-56,40624.99889144244,75374.99859609125
well-57,43124.99817699126,80374.99716718889
well-58,45624.99865308885,80374.99716718889
well-59,44374.998415040056,81624.9974052377
well-60,43124.99817699126,82874.99764359127
well-61,45624.99865308885,82874.99764359127
well-62,44374.998415040056,84124.99669109129
well-63,43124.99817699126,85374.99811968887
well-64,45624.99865308885,85374.99811968887
well-65,43124.99817699126,65374.99788164007
well-66,45624.99865308885,65374.99788164007
well-67,44374.998415040056,66624.99811968885
well-68,43124.99817699126,67874.99776246327
well-69,45624.99865308885,67874.99776246327
well-70,44374.998415040056,69124.99740523768
well-71,43124.99817699126,70374.99764359128
well-72,45624.99865308885,70374.99764359128
well-73,48124.99912949123,65374.99788164007
well-74,50624.998415040056,65374.99788164007
well-75,49374.99817699126,66624.99811968885
well-76,48124.99912949123,67874.99776246327
well-77,50624.998415040056,67874.99776246327
well-78,49374.99817699126,69124.99740523768
well-79,48124.99912949123,70374.99764359128
well-80,50624.998415040056,70374.99764359128
well-81,63124.99722449129,85374.99811968887
well-82,65624.99889113764,85374.99811968887
well-83,64374.99865308885,86624.99716718889
well-84,63124.99722449129,87874.99621468893
well-85,65624.99889113764,87874.99621468893
well-86,64374.99865308885,89124.99764359127
well-87,63124.99722449129,90374.99669109128
well-88,65624.99889113764,90374.99669109128
well-89,58124.99865308885,87874.99621468893
well-90,60624.99793894247,87874.99621468893
well-91,59374.99770058888,89124.99764359127
well-92,58124.99865308885,90374.99669109128
well-93,60624.99793894247,90374.99669109128
well-94,59374.99770058888,91624.9969291401
well-95,58124.99865308885,92874.99716718888
well-96,60624.99793894247,92874.99716718888
well-97,53124.99770058888,87874.99621468893
well-98,55624.99817699126,87874.99621468893
well-99,54374.99912949123,89124.99764359127
well-100,53124.99770058888,90374.99669109128
well-101,55624.99817699126,90374.99669109128
well-102,53124.99770058888,92874.99716718888
well-103,55624.99817699126,92874.99716718888
well-104,54374.99912949123,94124.99621468892
well-105,46874.99770058888,71624.99788164007
well-106,44374.998415040056,71624.99788164007
well-107,48124.99912949123,87874.99621468893
well-108,50624.998415040056,87874.99621468893
well-109,49374.99817699126,89124.99764359127
well-110,48124.99912949123,90374.99669109128
well-111,50624.998415040056,90374.99669109128
well-112,49374.99817699126,91624.9969291401
well-113,48124.99912949123,92874.99716718888
well-114,50624.998415040056,92874.99716718888
well-115,38124.99841504005,62874.998000816864
well-116,40624.99889144244,62874.998000816864
well-117,39374.99865308885,64124.99794107607
well-118,38124.99841504005,65374.99788164007
well-119,40624.99889144244,65374.99788164007
well-120,39374.99865308885,66624.99811968885
well-121,38124.99841504005,67874.99776246327
well-122,40624.99889144244,67874.99776246327
well-123,39374.99865308885,69124.99740523768
well-124,41874.99853421685,69124.99740523768
well-125,46874.99770058888,69124.99740523768
well-126,41874.99853421685,66624.99811968885
well-127,36874.99877226564,66624.99811968885
well-128,33124.998950878435,70374.99764359128
well-129,35624.999129491225,70374.99764359128
well-130,34374.998891137635,71624.99788164007
well-131,33124.998950878435,72874.99752441447
well-132,35624.999129491225,72874.99752441447
well-133,34374.998891137635,74124.99776246327
well-134,33124.998950878435,75374.99859609125
well-135,35624.999129491225,75374.99859609125
well-136,33124.998950878435,62874.998000816864
well-137,35624.999129491225,62874.998000816864
well-138,34374.998891137635,64124.99794107607
well-139,33124.998950878435,65374.99788164007
well-140,35624.999129491225,65374.99788164007
well-141,34374.998891137635,66624.99811968885
well-142,33124.998950878435,67874.99776246327
well-143,35624.999129491225,67874.99776246327
well-144,36874.99877226564,69124.99740523768
well-145,36874.99877226564,71624.99788164007
well-146,36874.99877226564,74124.99776246327
well-147,41874.99853421685,74124.99776246327
well-148,41874.99853421685,71624.99788164007
well-149,34374.998891137635,76624.99764359128
well-150,35624.999129491225,77874.9966910913
well-151,36874.99877226564,76624.99764359128
well-152,38124.99841504005,77874.9966910913
well-153,39374.99865308885,76624.99764359128
well-154,40624.99889144244,77874.9966910913
well-155,41874.99853421685,76624.99764359128
well-156,36874.99877226564,79124.99811968885
well-157,38124.99841504005,80374.99716718889
well-158,39374.99865308885,79124.99811968885
well-159,40624.99889144244,80374.99716718889
well-160,41874.99853421685,79124.99811968885
well-161,39374.99865308885,81624.9974052377
well-162,41874.99853421685,81624.9974052377
well-163,40624.99889144244,82874.99764359127
well-164,41874.99853421685,84124.99669109129
well-165,40624.99889144244,85374.99811968887
well-166,41874.99853421685,86624.99716718889
well-167,44374.998415040056,86624.99716718889
well-168,43124.99817699126,87874.99621468893
well-169,46874.99770058888,74124.99776246327
well-170,46874.99770058888,76624.99764359128
well-171,44374.998415040056,79124.99811968885
well-172,46874.99770058888,79124.99811968885
well-173,49374.99817699126,79124.99811968885
well-174,51874.99865308885,79124.99811968885
well-175,54374.99912949123,79124.99811968885
well-176,56874.99722449129,81624.9974052377
well-177,51874.99865308885,81624.9974052377
well-178,46874.99770058888,81624.9974052377
well-179,46874.99770058888,84124.99669109129
well-180,56874.99722449129,84124.99669109129
well-181,61874.99817699126,86624.99716718889
well-182,59374.99770058888,86624.99716718889
well-183,56874.99722449129,86624.99716718889
well-184,54374.99912949123,86624.99716718889
well-185,51874.99865308885,86624.99716718889
well-186,49374.99817699126,86624.99716718889
well-187,46874.99770058888,86624.99716718889
well-188,45624.99865308885,87874.99621468893
well-189,56874.99722449129,79124.99811968885
well-190,51874.99865308885,76624.99764359128
well-191,56874.99722449129,76624.99764359128
well-192,51874.99865308885,74124.99776246327
well-193,56874.99722449129,74124.99776246327
well-194,51874.99865308885,71624.99788164007
well-195,56874.99722449129,71624.99788164007
well-196,51874.99865308885,69124.99740523768
well-197,53124.99770058888,70374.99764359128
well-198,54374.99912949123,69124.99740523768
well-199,55624.99817699126,70374.99764359128
well-200,56874.99722449129,69124.99740523768
well-201,51874.99865308885,66624.99811968885
well-202,53124.99770058888,67874.99776246327
well-203,54374.99912949123,66624.99811968885
well-204,55624.99817699126,67874.99776246327
well-205,56874.99722449129,66624.99811968885
well-206,51874.99865308885,64124.99794107607
well-207,53124.99770058888,65374.99788164007
well-208,54374.99912949123,64124.99794107607
well-209,31874.99901031443,64124.99794107607
well-210,36874.99877226564,64124.99794107607
well-211,41874.99853421685,64124.99794107607
well-212,44374.998415040056,64124.99794107607
well-213,46874.99770058888,64124.99794107607
well-214,49374.99817699126,64124.99794107607
well-215,53124.99770058888,62874.998000816864
well-216,50624.998415040056,62874.998000816864
well-217,48124.99912949123,62874.998000816864
well-218,45624.99865308885,62874.998000816864
well-219,43124.99817699126,62874.998000816864
well-220,31874.99901031443,61624.99806025287
well-221,34374.998891137635,61624.99806025287
well-222,36874.99877226564,61624.99806025287
well-223,39374.99865308885,61624.99806025287
well-224,41874.99853421685,61624.99806025287
well-225,44374.998415040056,61624.99806025287
well-226,46874.99770058888,61624.99806025287
well-227,49374.99817699126,61624.99806025287
well-228,51874.99865308885,61624.99806025287
well-229,33124.998950878435,60374.99811968886
well-230,35624.999129491225,60374.99811968886
well-231,38124.99841504005,60374.99811968886
well-232,40624.99889144244,60374.99811968886
well-233,43124.99817699126,60374.99811968886
well-234,45624.99865308885,60374.99811968886
well-235,48124.99912949123,60374.99811968886
well-236,44374.998415040056,59124.99803038246
well-237,41874.99853421685,59124.99803038246
well-238,39374.99865308885,59124.99803038246
well-239,36874.99877226564,59124.99803038246
well-240,34374.998891137635,59124.99803038246
well-241,35624.999129491225,57874.99809012326
well-242,38124.99841504005,57874.99809012326
well-243,40624.99889144244,57874.99809012326
well-244,44374.998415040056,89124.99764359127
well-245,46874.99770058888,89124.99764359127
well-246,51874.99865308885,89124.99764359127
well-247,56874.99722449129,89124.99764359127
well-248,51874.99865308885,91624.9969291401
